手机型号,价格,运行内存,电池容量,机身颜色,前置像素,后置像素
三星（SAMSUNG） Galaxy C9 Pro(C9000)全网通4G智能手机 墨玉黑（6G+64G）,2699.00元,6GB,4000mAh,金色,1600万像素,1600万像素
三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
三星（SAMSUNG） 三星 W2018（SM-W2018）手机 至尊雅金 全网通(6G+64G),13058.00元,6GB,2300mAhmAh,金色,500万像素,1200万像素
三星（SAMSUNG） C8 手机 墨玉黑 全网通版(C7100) 64GB,1658.00元,其他,3000mAh,其他,其他,500万像素；1300万像素
三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
,4819.00元,None,NonemAh,None,None,None
,3595.00元,None,NonemAh,None,None,None
,4099.00元,None,NonemAh,None,None,None
,3358.00元,None,NonemAh,None,None,None
,4699.00元,None,NonemAh,None,None,None
,7499.00元,None,NonemAh,None,None,None
,8988.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C8（SM-C7100）移动联通电信4G手机 墨玉黑 64G,2399.00元,4GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,2880.00元,None,NonemAh,None,None,None
,1899.00元,None,NonemAh,None,None,None
,6589.00元,None,NonemAh,None,None,None
,2999.00元,None,NonemAh,None,None,None
,1799.00元,None,NonemAh,None,None,None
,6140.00元,None,NonemAh,None,None,None
,3388.00元,None,NonemAh,None,None,None
,869.00元,None,NonemAh,None,None,None
,6318.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy J3pro(J3300)全网通4G移动联通电信版智能老人机手机 流沙金 3G+32G,1099.00元,3GB,2600mAh,金色,500万像素,1300万像素
,2699.00元,None,NonemAh,None,None,None
,3128.00元,None,NonemAh,None,None,None
,1688.00元,None,NonemAh,None,None,None
,9999.00元,None,NonemAh,None,None,None
,1599.00元,None,NonemAh,None,None,None
,68.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
,258.00元,None,NonemAh,None,None,None
,1899.00元,None,NonemAh,None,None,None
,4299.00元,None,NonemAh,None,None,None
,5788.00元,None,NonemAh,None,None,None
三星 (SAMSUNG)W2018翻盖手机4G双卡双待心系天下商务尊贵礼品 雅金,13450.00元,6GB,2300mAh	mAh,金色,500万像素,1200万像素
三星（SAMSUNG） 三星 Galaxy C7（SM-C7000）全网通4G手机 金色 4G+32G,2399.00元,4GB,3300 mAhmAh,其他,800万像素,1600万像素
,419.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2018 移动联通电信全网4G 商务手机 雅金 6+64G,18888.00元,6GB,2300mAhmAh,金色,500万像素,1200万像素
三星（SAMSUNG） 三星G9298 手机 领世旗舰8 4G+64G,11388.00元,4GB,2300mAh,其他,500万像素,1200万像素
,1799.00元,None,NonemAh,None,None,None
,1399.00元,None,NonemAh,None,None,None
,1288.00元,None,NonemAh,None,None,None
,888.00元,None,NonemAh,None,None,None
,259.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8（SM-C7100）移动联通电信全网通4G手机 蔷薇粉 全网通(3G+32G),1899.00元,4GB,3000mAhmAh,金色,1600万像素,500万像素；1300万像素
三星（SAMSUNG） Galaxy J3 （J3308）手机 雪夜黑 移动版 3GB+32GB,942.00元,3GB,2600mAh,其他,500万像素,1300万像素
,4299.00元,None,NonemAh,None,None,None
,499.00元,None,NonemAh,None,None,None
,1669.00元,None,NonemAh,None,None,None
,268.00元,None,NonemAh,None,None,None
,1899.00元,None,NonemAh,None,None,None
,1648.00元,None,NonemAh,None,None,None
,458.00元,None,NonemAh,None,None,None
,4049.00元,None,NonemAh,None,None,None
,149.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C5（SM-C5000）移动联通电信4G手机 枫叶金 32G,1268.00元,4GB,2600mAh,金色,800万像素,1600万像素
三星（SAMSUNG） C9 Pro（SM-C9000）双卡双待4G手机 蔷薇粉 6G+64G 官方标配,2399.00元,6GB,4000mAh,金色,1600万像素,1600万像素
三星（SAMSUNG） Galaxy C8（C7100）移动联通电信4G手机 双卡双待 墨玉黑 全网通（4GB 64GB）,1625.00元,3GB,3000mAh,其他,1600万像素,500万像素；1600万像素
三星（SAMSUNG） 三星 C5（SM-C5000）全网通4G手机 双卡双待 蔷薇粉 (4G+32G),1163.00元,4GB,2600mAh,其他,800万像素,1600万像素
,169.00元,None,NonemAh,None,None,None
三星 Galaxy C8（SM-C7100）移动联通电信4G手机 双卡双待 墨玉黑 4G 32G,1649.00元,4GB,3000mAh,黑色,1600万像素,500万像素；1300万像素
三星（SAMSUNG） On5（G5500）全网通4G 移动联通电信版 老人机手机 双卡双待 流沙金,719.00元,其他,2600mAh,白色,500万像素,800万像素
,458.00元,None,NonemAh,None,None,None
,1999.00元,None,NonemAh,None,None,None
,4838.00元,None,NonemAh,None,None,None
SAMSUNG 三星 Galaxy C9 Pro C9000 4G手机 蔷薇粉 全网通(6G+64G),2388.00元,6GB,4000 mAhmAh,黑色,1600万像素,1600万像素
,4088.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C7（SM-C7000） 全网通4G手机 双卡 枫叶金 4+64G,2188.00元,其他,3300mAh,其他,800万像素,1600万像素
三星（SAMSUNG） Galaxy C8 手机 墨玉黑 SM-C7100/全网通 4GB+64GB,1675.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,39900.00元,None,NonemAh,None,None,None
,499.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2018 翻盖智能商务手机 至尊版（64GB）,12999.00元,6GB,2300mAh,其他,500万像素,1200万像素
三星（SAMSUNG） 三星 Galaxy C9 Pro (C9000) 4G手机 墨玉黑 全网通(6GB+64GB),2648.00元,6GB,"4,000mAhmAh",其他,1600万像素,1600万像素
,299.00元,None,NonemAh,None,None,None
,4699.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C9 Pro（C9000） 移动联通电信4G 金色,2999.00元,6GB,4000mAh,其他,1600万像素,1600万像素
,16666.00元,None,NonemAh,None,None,None
,2488.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy J3 （J3300 移动联通电信4G手机 蓝色 3GB+32GB,999.00元,3GB,2600mAh,其他,500万像素,1300万像素
,1280.00元,None,NonemAh,None,None,None
三星 Galaxy Note8（SM-N9500）6GB+256GB 旷野灰 移动联通电信4G手机 双卡双待,7988.00元,6GB,3300mAhmAh,旷野灰,800万像素,双1200万像素
,4999.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
SAMSUNG 三星S8+ G9550 全视曲面屏 移动电信联通 双卡双待4G手机 勃垦第红 全网通(6G+128G),6299.00元,其他,3500mAh,其他,800万像素,1200万像素
,268.00元,None,NonemAh,None,None,None
,3688.00元,None,NonemAh,None,None,None
,499.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
,1999.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星G9298 领世旗舰8 大器5 双屏翻盖智能手机 黑色 移动联通4G(4GB+64GB),9858.00元,4GB,2300mAh,其他,500万像素,1200万像素
【电信赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
,3318.00元,None,NonemAh,None,None,None
,258.00元,None,NonemAh,None,None,None
,4388.00元,None,NonemAh,None,None,None
,1369.00元,None,NonemAh,None,None,None
,5199.00元,None,NonemAh,None,None,None
三星 Galaxy S8+（SM-G9550）4GB+64GB 芭比粉 移动联通电信4G手机 双卡双待,5499.00元,4GB,3500mAh,粉色,800万像素,1200万像素
,3688.00元,None,NonemAh,None,None,None
,2599.00元,None,NonemAh,None,None,None
,4188.00元,None,NonemAh,None,None,None
,3888.00元,None,NonemAh,None,None,None
,1688.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy Note8（SM-N9500）6GB 128GB 星河蓝 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,星河蓝,800万像素,双1200万像素
三星 Galaxy Note8（SM-N9508）6G+64G 谜夜黑 移动4G+手机 双卡双待,6988.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
,1799.00元,None,NonemAh,None,None,None
,2299.00元,None,NonemAh,None,None,None
,16888.00元,None,NonemAh,None,None,None
,3388.00元,None,NonemAh,None,None,None
,-1.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy S9（SM-G9600/DS） 移动联通电信4G手机 迷夜黑 4GB +64GB,5799.00元,4GB,3000mAh,黑色,800万像素,1200万像素
,2999.00元,None,NonemAh,None,None,None
,1799.00元,None,NonemAh,None,None,None
,399.00元,None,NonemAh,None,None,None
,1588.00元,None,NonemAh,None,None,None
,1088.00元,None,NonemAh,None,None,None
,2218.00元,None,NonemAh,None,None,None
,17999.00元,None,NonemAh,None,None,None
,5988.00元,None,NonemAh,None,None,None
【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
三星（SAMSUNG） Galaxy C7（SM-C7000）移动联通电信4G手机 枫叶金 官方标配 32GB,1599.00元,其他,3300 以官网信息为准mAh,其他,800万像素,1600万像素
三星（SAMSUNG） 三星 Galaxy J3（SM-J3300）智能手机 老人机 雪夜黑 全网通(3G+32G),919.00元,3GB,2600mAh,黑色,500万像素,1300万像素
,6228.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C9 Pro（C9000）手机 蔷薇粉 全网通 6GB+64GB,2428.00元,6GB,4000 mAhmAh,其他,1600万像素,1600万像素
,4988.00元,None,NonemAh,None,None,None
,6499.00元,None,NonemAh,None,None,None
,2788.00元,None,NonemAh,None,None,None
,258.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy Folder2 (G1650) 翻盖手机 帕托金 2GB+16GB,1799.00元,2GB,1950mAh,其他,500万像素,800万像素
,2099.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 大器四 G9198 移动联通双4G手机 双卡双待 寰宇蓝,7300.00元,2GB,/mAh,其他,其他,其他
,5288.00元,None,NonemAh,None,None,None
,36888.00元,None,NonemAh,None,None,None
,6588.00元,None,NonemAh,None,None,None
,6288.00元,None,NonemAh,None,None,None
,18299.00元,None,NonemAh,None,None,None
,2880.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8（SM-C7100）手机 墨玉黑 全网通 4GB+64GB,1649.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,1199.00元,None,NonemAh,None,None,None
三星 Galaxy S8（SM-G9500）4GB+64GB 芭比粉 移动联通电信4G手机 双卡双待,4999.00元,4GB,3000mAh,粉色,800万像素,1200万像素
,2698.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 W2017 4G翻盖智能手机 黑色 电信4G(4GB RAM+64GB ROM)标准版,8988.00元,4GB,2000mAh-2999mAhmAh,其他,500万像素,1200万像素
,6988.00元,None,NonemAh,None,None,None
,288.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C9 Pro（C9000）移动联通电信4G手机 蔷薇粉 全网通(6G+64G),2399.00元,6GB,4000mAh,黑色,1600万像素,1600万像素
三星（SAMSUNG） 三星 Galaxy S9+（SM-G9650/DS）移动联通电信4G手机 迷夜黑 6GB+64GB,6699.00元,4GB,3500mAh,黑色,800万像素,双1200万像素
,4000.00元,None,NonemAh,None,None,None
SAMSUNG 三星 W2018 翻盖智能商务手机 至尊雅金,13333.00元,6GB,2300mAhmAh,金色,500万像素,1200万像素
,5788.00元,None,NonemAh,None,None,None
,251.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8（SM-G9500）4GB+64GB 烟晶灰 4GB+64GB,4999.00元,4GB,3000mAh,黑色,800万像素,1200万像素
三星（SAMSUNG） 三星Note8（SM-N9500）移动联通电信4G 谜夜黑 全网通（6G+128G）,7388.00元,6GB,3300mAh,黑色,800万像素,双1200万像素
,23333.00元,None,NonemAh,None,None,None
,14999.00元,None,NonemAh,None,None,None
,1699.00元,None,NonemAh,None,None,None
,5316.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2018 翻盖智能商务手机 雅金 6GB+64GB,12999.00元,6GB,2300mAhmAh,其他,500万像素,1200万像素
,2328.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy On5（G5500）移动联通双4G 智能老人机手机 白色 8G,799.00元,其他,2600mAh,金色,500万像素,800万像素
,1399.00元,None,NonemAh,None,None,None
,4049.00元,None,NonemAh,None,None,None
,188.00元,None,NonemAh,None,None,None
三星（SAMSUNG） C9 Pro（C9000）双卡双待4G手机(6G+64G) 墨玉黑,2899.00元,6GB,4000 mAhmAh,黑色,1600万像素,1600万像素
三星（SAMSUNG）Galaxy C5（C5000）移动联通电信 全网通 枫叶金,1145.00元,4GB,2600mAh,其他,800万像素,1600万像素
三星（SAMSUNG） W2018 全网通4G手机 雅金（6GB+64GB）,14999.00元,6GB,2300mAhmAh,其他,500万像素,1200万像素
,5388.00元,None,NonemAh,None,None,None
三星 Galaxy Note8（SM-N9500）6GB+64GB 星河蓝 移动联通电信4G手机 双卡双待,6988.00元,6GB,3300mAhmAh,星河蓝,800万像素,双1200万像素
三星（SAMSUNG） Galaxy Folder2 （G1650）4G翻盖手机 琉璃黑 全网通2G+16G,1799.00元,2GB,1950mAh,其他,500万像素,800万像素
三星 Galaxy C7 Pro（C7010）4GB+64GB 全网通4G手机 双卡双待 苍海蓝,2699.00元,4GB,3300 mAhmAh,金色,1600万像素,1600万像素
三星（SAMSUNG） Galaxy A7（SM-7000）移动联通4G 智能老人机手机 金色 2GB+16GB,1099.00元,2GB,2600mAh,金色,500万像素,1300万像素
三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,4999.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
【分期用】三星 Galaxy S9+（SM-G9650）6GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
,2078.00元,None,NonemAh,None,None,None
三星 Galaxy S8+（SM-G9550）6GB+128GB 烟晶灰 移动联通电信4G手机 双卡双待,6299.00元,6GB,3500mAh,烟晶灰,800万像素,1200万像素
,2618.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy On5 2016版（G5510）青春版 手机 流沙金 全网通 2GB+16GB,968.00元,2GB,2600mAhmAh,金色,500万像素,1300万像素
【电信赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
,1699.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy Folder2（G1650）全网通4G 翻盖手机 金色 2G+16G,1799.00元,2GB,1950mAh,其他,500万像素,800万像素
三星（SAMSUNG） Galaxy J3 （J3308）手机 流沙金 移动版 3GB+32GB,926.00元,3GB,2600mAh,其他,500万像素,1300万像素
三星（SAMSUNG） Galaxy Folder2 （SM-G1650） 碧玺红 2GB+16GB,1759.00元,2GB,1950mAh,其他,500万像素,800万像素
【分期用】三星 Galaxy S9（SM-G9600）4GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,夕雾紫,800万像素,1200万像素
三星（SAMSUNG） 三星G9298 三星领世旗舰8 大器5 双屏翻盖智能手机 黑色 移动联通双4G(4G+64G),9788.00元,4GB,2300mAhmAh,其他,500万像素,1200万像素
三星（SAMSUNG） 三星 Galaxy C5 Pro（C5010）全网通 双卡双待 碧湖蓝 4+64G,1788.00元,其他,2600mAh,其他,1600万像素,1600万像素
,5449.00元,None,NonemAh,None,None,None
,2099.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy On5（G5700） 全网通4G智能手机 嫣霞粉 (3G RAM+32G ROM),1198.00元,3GB,2600mAh,黑色,800万像素,1300万像素
三星（SAMSUNG）G1650 移动联通双4G 翻盖手机 琉璃黑,1799.00元,2GB,1950mAh,黑色,500万像素,800万像素
三星（SAMSUNG） 大器3 （SM-G9092） 联通3G手机 双卡双待 名仕蓝 32G 官方标配,2888.00元,2GB,1900mAh,蓝色,200万像素,1300万像素
,289.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
三星 Galaxy S8（SM-G9508）4GB+64GB 烟晶灰 移动4G+手机 双卡双待,4999.00元,4GB,3000mAh,烟晶灰,800万像素,1200万像素
,1998.00元,None,NonemAh,None,None,None
三星 Galaxy C9 Pro（C9000）6GB+64GB 全网通4G手机 双卡双待 蔷薇粉,3199.00元,6GB,4000 mAhmAh,黑色,1600万像素,1600万像素
三星（SAMSUNG） W2018 翻盖手机 4G双卡双待 雅金 全网通（6G+64G）,13228.00元,6GB,2300mAhmAh,其他,500万像素,1200万像素
三星 Galaxy S8（SM-G9500）4GB+64GB 烟晶灰 移动联通电信4G手机 双卡双待,4999.00元,4GB,3000mAh,烟晶灰,800万像素,1200万像素
,2568.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
三星（SAMSUNG） C7 (SM-C7000) 全网通4G 智能手机 枫叶金 (4G RAM+32G ROM）,1496.00元,4GB,约3300mAh,金色,1600万像素,1600万像素
,1799.00元,None,NonemAh,None,None,None
,6368.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S8+（SM-G9550）6GB+128GB 烟晶灰 S8+ 6GB 128GB版,6299.00元,4GB,3500mAh,黑色,800万像素,1200万像素
三星（SAMSUNG） Galaxy C8（SM-C7100）全网通4G 智能手机 蔷薇粉 (3GB RAM+32GB ROM),1499.00元,3GB,3000mAhmAh,金色,1600万像素,500万像素；1300万像素
三星（SAMSUNG） Galaxy C8（SM-C7100）手机 墨玉黑 全网通 4GB+64GB,1688.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,16129.00元,None,NonemAh,None,None,None
,5199.00元,None,NonemAh,None,None,None
,1599.00元,None,NonemAh,None,None,None
,188.00元,None,NonemAh,None,None,None
,15888.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy S8（SM-G9500） 移动联通电信4G手机 双卡双待 勃艮第红（4G+64G）,4999.00元,4GB,3000mAh,金色,800万像素,1200万像素
三星（SAMSUNG） W2018 6GB+64GB 雅金 移动联通电信 全网通4G手机 雅金 4GB+64GB,13699.00元,4GB,以官网信息为准mAh,其他,500万像素,1200万像素
三星（SAMSUNG） 大器3 （SM-G9092）联通3G双卡双待手机 名仕蓝 官方标配 32GB,2898.00元,2GB,1900mAh,其他,200万像素,1300万像素
三星（SAMSUNG） 【白条12期免息】S9 移动4G+全网通智能手机 迷夜黑 4GB+64GB,5799.00元,4GB,3000mAhmAh,黑色,800万像素,1200万像素
三星（SAMSUNG） 三星 领世旗舰8（G9298）手机 黑色 移动联通版(4GRAM+64GROM),9886.00元,4GB,2300mAh,其他,500万像素,1200万像素
三星（SAMSUNG） Galaxy C5（SM-C5000）移动联通电信4G手机 枫叶金 标准版(4G+32G),1208.00元,其他,2600mAh,其他,800万像素,1600万像素
三星（SAMSUNG） A5100 移动联通电信4G双卡手机 金色 全网通(2G+16G),1233.00元,其他,2900 已官网信息为准mAh,其他,500万像素,1300万像素
,6399.00元,None,NonemAh,None,None,None
【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
三星（SAMSUNG） 三星 Galaxy S9（SM-G9600）全网通4G手机 夕雾紫 4GB+64GB,5799.00元,4GB,3000mAh（典型值）mAh,其他,800万像素,1200万像素
,11699.00元,None,NonemAh,None,None,None
,339.00元,None,NonemAh,None,None,None
,2549.00元,None,NonemAh,None,None,None
,2199.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C5 Pro（C5010）手机 枫叶金 全网通 4GB+64GB,1766.00元,4GB,2600mAhmAh,其他,1600万像素,1600万像素
,16888.00元,None,NonemAh,None,None,None
,268.00元,None,NonemAh,None,None,None
三星（SAMSUNG） SAMSUNG Galaxy C8（C7100） 全网通 蔷薇粉 4GB+64GB,1799.00元,4GB,以官网信息为准mAh,其他,1600万像素,500万像素；1300万像素
,6499.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy S9（SM-G9608/DS）4GB+64GB 谜夜黑 移动4G+手机 双卡双待,5799.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
SAMSUNG 三星 Galaxy C8(C7100)移动联通电信4G手机 双卡双待 墨玉黑 4G+64GB【全网通4G】,1758.00元,其他,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,2999.00元,None,NonemAh,None,None,None
三星（SAMSUNG） C5（SM-C5000） 全网通4G手机 蔷薇粉 标配版(4+32G),1163.00元,4GB,2600mAh,其他,800万像素,1600万像素
,1088.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 盖乐世 Folder2 SM-G1650 翻盖手机 金色 全网通(2G RAM+16G ROM),1799.00元,2GB,1950mAh,其他,500万像素,800万像素
,268.00元,None,NonemAh,None,None,None
,358.00元,None,NonemAh,None,None,None
,6888.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy S7 (G9300) 4G智能手机 全网通 铂光金 4G+32G,2499.00元,4GB,3000mAh,其他,500万像素,1200万像素
三星（SAMSUNG） 三星 Galaxy J3（J3308） 移动4G手机 双卡双待 指纹识别 流沙金（3+32G）,999.00元,3GB,2600mAh,金色,500万像素,1300万像素
三星（SAMSUNG） 三星 领世旗舰8（G9298）双卡双待手机 智能手机 黑色 移动联通双4G(4G+64G),11500.00元,4GB,2300 以官网信息为准mAh,其他,500万像素,1200万像素
